objectid,name_std,acreage,year,raw_excerpt
184,William Dyer,400.0,1741.0,400a Hanover County on the Branches of Pritty's Creek
185,John Anthony,200.0,1741.0,"200a Goochland Co. on both sides of Bisket Run,"
186,James Tulley,400.0,1741.0,400ac b/sides of Totier Crk
187,John Lewis,400.0,1741.0,400ac on b/sides of Totier Crk
188,John Lewis,400.0,1741.0,400ac brs of Totier Crk
189,William Whitesides,400.0,1741.0,400 ac both sides of so fork of Mechams River
190,Rebecca Bunch,400.0,1741.0,400a Goochland Co. on both sides of Ivy Cr. a br. of the Rivanna
191,Charles Lynch,400.0,1741.0,400a Goochland Co. on the Brs. of Stockton's Br. of Mechums River
192,Charles Lynch,400.0,1741.0,400a Goochland Co. on the Brs. of Stockton's Br. of Mechums River
193,Ambrose Joshua Smith,4372.0,1741.0,4372a Hanover County on both sides of Pritties Creek
194,William Coursey,400.0,1741.0,400a HNCO on the NE side of Piny Mountain
195,John Jemirson,400.0,1741.0,400a Goochland County on the N side of Moorman's River
196,Ambrose Joshua Smith,4372.0,1741.0,4372a HNCO on both sides of Pritties Creek
197,Dennis Doyl,400.0,1741.0,400a Goochland Co. on sides of the N fork of Moormans River
198,Dennis Doyl,400.0,1741.0,400a Goochland Co. on both sides of the N fork of Moormans River
199,John Key,430.0,1741.0,430a Goochland County on Key's Mill Swamp
200,John Jemirson,177.0,1741.0,177a Goochland County on both sides of Moormans River
201,Thomas Evans,400.0,1741.0,400a Goochland Co. on both sides of Moor's Creek
202,Thomas Meriwether,400.0,1741.0,400a Goochland Co. on both sides of the S fork of Totier Creek
203,Christopher Clark,400.0,1741.0,400a Goochland County on the branches of Totier Creek
204,,400.0,1741.0,400a Goochland Co. on the North fork of Hardware Riv.
205,Joel Terril,400.0,1741.0,400a Goochland County on the branches of Stockton's Creek
206,Joel Terril,400.0,1741.0,400a Goochland County on the branches of Stockton's Creek
207,,430.0,1741.0,430a Goochland Co. on both forks of licking hole Swamp
208,David Stockdon,400.0,1741.0,400a Goochland Co. on both sides the S fork of Mechum's River
209,Samuel Garlick,1200.0,1741.0,1200a in Hanover County on both sides of Buckmountain Creek
210,Thomas Moorman,750.0,1741.0,750a Goochland County on both sides of Moorman's River
211,William Harris,400.0,1741.0,400a GOCO on both sides the South fork of Totier Creek
212,William Taylor,1200.0,1741.0,1200a Goochland County on both sides the North fork of Hardware
213,Thomas Meriwether,400.0,1741.0,400 ac among brs. of Totier Creek
214,Chas Lewis,400.0,1741.0,400a Goochlan/in Rich Cove
215,William Wallace,200.0,1741.0,200a Goochland Co. on both sides licking hole Swamp
216,Richard Hammock,400.0,1741.0,400a Hanover County
217,Mildred Meriwether,1900.0,1741.0,1900a Goochland County on both sides of Poplar branch
218,Roger Quarles,400.0,1741.0,400a HNCO both sides Prettys Cr. beyond the little Mountains
219,,400.0,1741.0,400a Hanover Co. on both sides the N fork of Rocky Cr.
220,John Williamson,1165.0,1741.0,1165a GOCO on both sides of Meadow Creek and its branches on the S side of the Rivanna River
221,Roger Quarles,400.0,1741.0,400a HNCO on both sides Prettys Creek
222,Reverend William Stith,420.0,1742.0,420a Goochland County on both Sides of Ballengers Cr.
223,Matthew Harris Son Of William Harris,400.0,1742.0,400a Goochland County on the branches of Totier Cr.
224,Allen Howard,2380.0,1742.0,2380a GOCO on both sides of Rockfish River
225,Thomas Meriwether,950.0,1742.0,950a Goochland Co. both sides the N Fork Totier Cr.
226,William Stith,400.0,1742.0,400a Goochland Co.
227,Castleton Harper,254.0,1743.0,254a Goochland County on the upper Side of Eppes's Creek
228,John Tuley,250.0,1743.0,250a Goochland County on both Sides of Totier Creek
229,Bolling Clark,400.0,1743.0,400a Goochland Co. on Totier branches
230,Samuel Arnold,200.0,1743.0,200a Goochland Co. on the brs. of Ivy Creek
231,Martin Key,50.0,1743.0,50a Louisa Co. on the North side of the North Fork
232,Abraham Whitworth,496.0,1743.0,496a Goochland Co. on both Sides of Rock fish River
233,John Red,400.0,1743.0,400a Louisa Co. on both sides Naked ((Fishing)) Creek
234,,437.0,1743.0,437a Goochland County
235,Charles Blaney,391.0,1743.0,391a Goochland Co. on the Brs. of the S Fork of Hardware Riv.
236,Jno Dobbins,250.0,1743.0,250a Goochlan/brs Rockfish Riv
237,John Lyon,350.0,1743.0,350a Goochland Co. on the brs. of Hardware River
238,Thomas Doughorty,192.0,1743.0,192a Hanover Co. on both Sides of Moreman's River
239,Richard Stockton,400.0,1743.0,400a Goochland County on both sides of Stockton's Cr.
240,William Cox,850.0,1743.0,850a Louisa Cp. on both sides of Lynches River at the foot of the Great Mountains
241,Henry Blackgrave,1200.0,1743.0,1200a Louisa County on the Branches of the North Fork of James River at the Foot of the Great Mountains
242,,380.0,1743.0,380a Goochland County
243,Benjamin Waller,400.0,1743.0,400a Louisa County
244,Elizabeth Lewis,400.0,1743.0,400a Goochland County
245,John Lewis,425.0,1743.0,425ac County of Goochland
246,Charles Moormen Junr. Of Louisa County,125.0,1743.0,125a Goochland County and is part of 2 patents
247,Michael Holland,4753.0,1744.0,4753a Goochland County
248,Matthew Mills,400.0,1744.0,400a Goochland Co. on the brs. of Mechums Riv.
249,Matthew Mills,400.0,1744.0,400a Goochland County on the branches of Mechems River
250,Matthew Mills,327.0,1744.0,327a Goochland Co. on the brs. of Mechums Riv.
251,Leonard Terrence Vicus,374.0,1744.0,374a Louisa Co. on N side of North Fork of the N Fork of James River & on both Sides of Red Bud Br.
252,Charles Mills,1800.0,1744.0,1800a Goochland Co. on the branches of Licking hole and Beverdam Swamps
253,,850.0,1744.0,850a Goochland Co. on both Sides the South Fork of Hardware River
254,Joseph Jackson,400.0,1744.0,400a Goochland County on the Branches of Hardware River
255,Charles Heard,225.0,1744.0,225a Goochland County on the Branches of Hardware River
256,Joshua Fry Gent.,290.0,1745.0,290a Albemarle County upon Eppes's Lower Creek
257,Joseph Martin,1420.0,1745.0,1420a Louisa County
258,Benjamin White,100.0,1745.0,100a Goochland County on the South side of Hardware River
259,John Grills,390.0,1745.0,390a Albemarle County on the branches of Moores Creek
260,Daniel Jones,400.0,1745.0,400a Albemarle Co. on both sides of Biskit run
261,,400.0,1745.0,400a Goochland County on the Branches of Totier Creek
262,John Scott,400.0,1745.0,400a Goochland County on the Branches of Totier Creek
263,Michael Thomas Jr,200.0,1745.0,200a Goochlan/bs Rockfish Riv
264,Richard Stockton,400.0,1745.0,400a Goochland Co. on both Sides Stocktons br. of Mechums River
265,Robert Jones,200.0,1745.0,200a Goochland County on both sides of Totier Creek
266,,400.0,1745.0,400a Hanover Co. both sides a southern Br. of Buck Mountain Cr.
267,James Coleman,300.0,1745.0,300a Louisa Co. on West side the little Mountains
268,Joseph Martin,400.0,1745.0,400a Louisa Co. on the Brs. of Penney run [Piney Run]
269,Joseph Martin,400.0,1745.0,400a Louisa County on both sides of Rockey Creek
270,John Anthony,109.0,1745.0,109a Goochland Co. on both sides of Hardware River
271,John Anthony,400.0,1745.0,400a Goochland County on both sides Hudsons Creek
272,James Lee,270.0,1745.0,270a Goochland Co. on both sides the South Fork of
273,John Ennis,400.0,1745.0,400a Louisa County
274,William Owen,300.0,1745.0,300a Hanover Co. on both sides a br. of James River
275,James Goodall,400.0,1746.0,400a ORCO
276,Samuel Garlick,2400.0,1746.0,2400a Louisa County on both sides of Buck Mountain Creek
277,William Branham,176.0,1746.0,176a Goochland County in the North Garden
278,Arthur Donalley,300.0,1746.0,300a Albemarle County on both sides of the south Fork of Totier Creek
